City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,keflavik,64.0049,-22.5624,277.39,75,75,15.95,IS,1702647571
1,bredasdorp,-34.5322,20.0403,295.82,49,10,6.82,ZA,1702647571
2,albany,42.6001,-73.9662,278.47,75,11,3.0,US,1702647572
3,saipan,15.1355,145.701,300.54,83,75,6.69,MP,1702647573
4,college,64.8569,-147.8028,241.12,71,75,0.0,US,1702647574
5,udachny,66.4167,112.4,241.73,74,97,2.24,RU,1702647575
6,banjarmasin,-3.3244,114.591,300.23,88,99,0.58,ID,1702647576
7,danville,36.586,-79.395,270.36,80,0,2.06,US,1702647314
8,nikolayevsk-on-amure,53.1406,140.73,250.04,76,11,6.02,RU,1702647578
9,port elizabeth,-33.918,25.5701,295.31,66,40,5.66,ZA,1702647579
10,lodwar,3.1191,35.5973,307.83,29,59,9.57,KE,1702647580
11,port-aux-francais,-49.35,70.2167,279.47,93,100,12.32,TF,1702647580
12,petropavlovsk-kamchatsky,53.0452,158.6483,267.48,73,20,12.07,RU,1702647581
13,grytviken,-54.2811,-36.5092,277.68,68,100,3.28,GS,1702647582
14,jamestown,42.097,-79.2353,277.92,82,0,3.6,US,1702647453
15,howard springs,-12.497,131.047,302.1,93,100,2.45,AU,1702647584
16,kapuskasing,49.4169,-82.4331,274.2,80,75,5.14,CA,1702647528
17,edinburgh of the seven seas,-37.0676,-12.3116,287.82,84,100,7.91,SH,1702647585
18,yellowknife,62.456,-114.3525,259.49,94,100,6.71,CA,1702647586
19,alto araguaia,-17.3147,-53.2153,308.87,27,100,4.5,BR,1702647587
20,ribeira grande,38.5167,-28.7,292.37,94,75,7.2,PT,1702647587
21,iqaluit,63.7506,-68.5145,261.0,67,100,7.72,CA,1702647588
22,sechura,-5.5569,-80.8222,295.57,73,90,4.59,PE,1702647589
23,kulhudhuffushi,6.6221,73.07,299.28,81,100,1.69,MV,1702647589
24,zouerate,22.7187,-12.4521,299.76,9,0,7.01,MR,1702647590
25,queenstown,-31.8976,26.8753,295.19,47,51,9.68,ZA,1702647591
26,mongo,12.1844,18.693,305.66,12,100,2.29,TD,1702647592
27,hithadhoo,-0.6,73.0833,301.83,70,98,2.61,MV,1702647592
28,bilibino,68.0546,166.4372,245.65,87,3,3.42,RU,1702647593
29,ilulissat,69.2167,-51.1,260.16,52,75,7.2,GL,1702647594
30,anadyr,64.75,177.4833,263.43,79,40,15.0,RU,1702647594
31,novyy urengoy,66.0833,76.6333,243.28,100,77,2.42,RU,1702647595
32,blackmans bay,-43.0167,147.3167,286.22,84,63,2.86,AU,1702647595
33,geraldton,-28.7667,114.6,295.38,73,5,7.2,AU,1702647349
34,vilyuchinsk,52.9306,158.4028,268.3,74,57,9.15,RU,1702647597
35,lebu,-37.6167,-73.65,287.86,62,56,4.48,CL,1702647598
36,vorkuta,67.5,64.0,247.1,100,88,1.68,RU,1702647599
37,valparaiso,-33.0393,-71.6273,291.75,67,75,4.63,CL,1702647600
38,basco,20.4487,121.9702,299.64,79,97,8.2,PH,1702647600
39,wenchang,30.904,118.4887,273.53,96,100,5.24,CN,1702647601
40,avarua,-21.2078,-159.775,297.18,88,100,2.06,CK,1702647602
41,angaur state,6.906,134.13,299.86,85,100,8.97,PW,1702647603
42,adamstown,-25.066,-130.1015,295.88,76,9,7.75,PN,1702647604
43,mili,6.0815,171.735,300.21,86,100,7.1,MH,1702647605
44,bethel,41.3712,-73.414,277.35,68,100,0.89,US,1702647606
45,longyearbyen,78.2186,15.6401,275.06,69,40,5.14,SJ,1702647607
46,kargasok,59.0556,80.8572,259.24,88,100,3.13,RU,1702647609
47,mishkino,55.3389,63.9175,253.93,81,25,2.14,RU,1702647610
48,hamilton,39.1834,-84.5333,275.92,66,0,0.0,US,1702647575
49,yanchep,-31.55,115.6833,295.94,63,77,5.16,AU,1702647612
50,port alfred,-33.5906,26.891,294.36,71,53,2.24,ZA,1702647613
51,pyapon,16.2833,95.6833,298.83,65,2,1.74,MM,1702647614
52,praia da vitoria,38.7333,-27.0667,292.29,94,40,9.32,PT,1702647615
53,flying fish cove,-10.4217,105.6791,297.97,78,40,2.06,CX,1702647617
54,al khaburah,23.9886,57.0984,297.66,46,0,2.57,OM,1702647617
55,tabuk,17.4189,121.4443,296.65,89,21,0.8,PH,1702647618
56,port mathurin,-19.6833,63.4167,299.65,75,12,6.07,MU,1702647619
57,sideropolis,-28.5978,-49.4244,304.83,59,11,2.03,BR,1702647621
58,papatowai,-46.5619,169.4708,283.85,87,89,2.61,NZ,1702647622
59,san jose de jachal,-30.2406,-68.7469,300.13,40,0,3.66,AR,1702647623
60,al jawf,29.5,38.75,290.37,35,0,2.65,SA,1702647625
61,egilsstadir,65.2653,-14.3948,278.1,70,75,9.26,IS,1702647626
62,puerto ayora,-0.7393,-90.3518,297.87,84,89,4.76,EC,1702647627
63,san patricio,28.017,-97.5169,291.2,94,89,4.51,US,1702647628
64,west island,-12.1568,96.8225,300.14,78,75,3.09,CC,1702647629
65,chhor,25.5167,69.7667,296.44,23,6,2.91,PK,1702647630
